timestamp,aqi,pm25,no2,co,o3,pm10,datetime,year,month,day,hour,day_of_week,week_of_year,date,season,pm25_category,no2_category,is_rush_hour
1640995200,1,9.6,16.96,230.31,40.41,15.84,2022-01-01 00:00:00,2022,1,1,0,5,52,2022-01-01,Winter,Fair,Low,False
1640998800,1,9.19,17.31,226.97,36.48,16.28,2022-01-01 01:00:00,2022,1,1,1,5,52,2022-01-01,Winter,Fair,Low,False
1641002400,1,7.72,16.62,226.97,35.41,14.58,2022-01-01 02:00:00,2022,1,1,2,5,52,2022-01-01,Winter,Fair,Low,False
1641006000,1,7.04,14.91,226.97,37.19,13.09,2022-01-01 03:00:00,2022,1,1,3,5,52,2022-01-01,Winter,Fair,Low,False
1641009600,1,6.34,12.51,226.97,38.27,11.36,2022-01-01 04:00:00,2022,1,1,4,5,52,2022-01-01,Winter,Fair,Low,False
1641013200,1,5.58,10.37,230.31,37.91,9.63,2022-01-01 05:00:00,2022,1,1,5,5,52,2022-01-01,Winter,Fair,Low,False
1641016800,1,5.65,9.77,230.31,37.19,9.61,2022-01-01 06:00:00,2022,1,1,6,5,52,2022-01-01,Winter,Fair,Low,False
1641020400,1,6.04,13.19,233.65,34.69,9.75,2022-01-01 07:00:00,2022,1,1,7,5,52,2022-01-01,Winter,Fair,Low,True
1641024000,1,5.89,16.79,236.99,32.54,9.11,2022-01-01 08:00:00,2022,1,1,8,5,52,2022-01-01,Winter,Fair,Low,True
1641027600,1,5.59,17.82,236.99,33.62,8.79,2022-01-01 09:00:00,2022,1,1,9,5,52,2022-01-01,Winter,Fair,Low,True
1641031200,1,5.72,17.65,233.65,36.84,9.17,2022-01-01 10:00:00,2022,1,1,10,5,52,2022-01-01,Winter,Fair,Low,False
1641034800,1,6.35,17.31,236.99,40.05,10.31,2022-01-01 11:00:00,2022,1,1,11,5,52,2022-01-01,Winter,Fair,Low,False
1641038400,1,7.14,16.62,240.33,40.77,12.3,2022-01-01 12:00:00,2022,1,1,12,5,52,2022-01-01,Winter,Fair,Low,False
1641042000,1,7.93,15.25,236.99,42.2,12.75,2022-01-01 13:00:00,2022,1,1,13,5,52,2022-01-01,Winter,Fair,Low,False
1641045600,1,7.44,14.39,240.33,42.92,9.84,2022-01-01 14:00:00,2022,1,1,14,5,52,2022-01-01,Winter,Fair,Low,False
1641049200,1,5.45,14.74,243.66,41.84,6.49,2022-01-01 15:00:00,2022,1,1,15,5,52,2022-01-01,Winter,Fair,Low,False
1641052800,1,5.47,15.59,243.66,40.05,6.27,2022-01-01 16:00:00,2022,1,1,16,5,52,2022-01-01,Winter,Fair,Low,False
1641056400,1,6.25,16.79,243.66,38.27,7.25,2022-01-01 17:00:00,2022,1,1,17,5,52,2022-01-01,Winter,Fair,Low,True
