date,pm25,no2,aqi,year,month,season
2022-01-01,7.557083333333334,15.311250000000001,1.125,2022,1,Winter
2022-01-02,3.9287500000000004,9.677916666666667,1.0833333333333333,2022,1,Winter
2022-01-03,3.4008333333333334,17.658333333333335,1.0,2022,1,Winter
2022-01-04,2.766666666666667,20.2025,1.0,2022,1,Winter
2022-01-05,2.345,20.234166666666667,1.25,2022,1,Winter
2022-01-06,10.042916666666667,33.94583333333333,1.7916666666666667,2022,1,Winter
2022-01-07,1.4925,14.69,1.0,2022,1,Winter
2022-01-08,1.6295833333333334,12.45875,1.0,2022,1,Winter
2022-01-09,2.8091666666666666,25.697916666666668,1.2916666666666667,2022,1,Winter
2022-01-10,14.092500000000001,51.194583333333334,2.3333333333333335,2022,1,Winter
2022-01-11,8.36,28.47458333333333,1.4166666666666667,2022,1,Winter
2022-01-12,18.538333333333334,44.59875,2.4583333333333335,2022,1,Winter
2022-01-13,25.2175,58.12125,3.1666666666666665,2022,1,Winter
2022-01-14,33.252500000000005,50.69375,3.625,2022,1,Winter
2022-01-15,32.05958333333333,51.22375,3.7916666666666665,2022,1,Winter
2022-01-16,8.027916666666666,35.20916666666667,1.2916666666666667,2022,1,Winter
2022-01-17,13.582083333333332,35.17208333333333,1.9583333333333333,2022,1,Winter
2022-01-18,29.912916666666664,59.06375,3.25,2022,1,Winter
2022-01-19,6.510416666666667,28.881666666666664,1.25,2022,1,Winter
2022-01-20,3.049583333333333,22.894583333333333,1.0,2022,1,Winter
2022-01-21,7.540416666666666,34.066250000000004,1.4166666666666667,2022,1,Winter
2022-01-22,7.4679166666666665,31.76625,1.375,2022,1,Winter
2022-01-23,18.49,41.81,2.0,2022,1,Winter
2022-01-24,18.054347826086957,63.85086956521739,2.5217391304347827,2022,1,Winter
2022-01-25,22.141666666666666,60.0625,2.875,2022,1,Winter
2022-01-26,12.807916666666666,31.859583333333333,1.75,2022,1,Winter
2022-01-27,3.3745833333333333,16.52958333333333,1.0833333333333333,2022,1,Winter
2022-01-28,6.702916666666667,30.474166666666665,1.25,2022,1,Winter
2022-01-29,1.7045833333333331,7.833749999999999,1.0,2022,1,Winter
2022-01-30,4.06125,20.620833333333334,1.2083333333333333,2022,1,Winter
2022-01-31,0.9562499999999999,8.542083333333332,1.2083333333333333,2022,1,Winter
2022-02-01,1.62,9.674166666666666,1.0,2022,2,Winter
2022-02-02,2.97125,24.087500000000002,1.25,2022,2,Winter
2022-02-03,2.654166666666667,19.17833333333333,1.0,2022,2,Winter
2022-02-04,1.6083333333333334,12.863750000000001,1.0,2022,2,Winter
2022-02-05,1.73125,10.4425,1.0416666666666667,2022,2,Winter
2022-02-06,1.1941666666666666,4.529583333333334,1.4166666666666667,2022,2,Winter
2022-02-07,2.450416666666667,18.142916666666668,1.0,2022,2,Winter
2022-02-08,2.2408333333333332,13.258333333333333,1.2083333333333333,2022,2,Winter
2022-02-09,3.8066666666666666,26.222916666666666,1.2916666666666667,2022,2,Winter
2022-02-10,3.14125,21.0425,1.0,2022,2,Winter
2022-02-11,5.2595833333333335,36.089999999999996,1.5416666666666667,2022,2,Winter
2022-02-12,5.549166666666667,17.105,1.0416666666666667,2022,2,Winter
2022-02-13,4.722916666666666,10.242916666666668,1.0,2022,2,Winter
2022-02-14,1.0766666666666667,12.419583333333334,1.0,2022,2,Winter
2022-02-15,2.3033333333333332,18.977916666666665,1.0,2022,2,Winter
2022-02-16,2.6979166666666665,7.343333333333334,1.0,2022,2,Winter
2022-02-17,1.9895833333333333,10.43,1.0,2022,2,Winter
2022-02-18,1.6849999999999998,8.415416666666667,1.125,2022,2,Winter
2022-02-19,0.8333333333333334,8.160416666666666,1.0,2022,2,Winter
2022-02-20,1.54,15.77,1.0,2022,2,Winter
2022-02-21,1.33,6.8765217391304345,1.0,2022,2,Winter
2022-02-22,3.3516666666666666,17.28875,1.0,2022,2,Winter
2022-02-23,3.7383333333333333,20.220833333333335,1.0416666666666667,2022,2,Winter
2022-02-24,1.5599999999999998,9.865833333333333,1.0833333333333333,2022,2,Winter
2022-02-25,8.491249999999999,24.615416666666665,1.6666666666666667,2022,2,Winter
2022-02-26,11.52875,35.65083333333333,1.5833333333333333,2022,2,Winter
2022-02-27,9.68875,18.132083333333334,1.4583333333333333,2022,2,Winter
2022-02-28,10.049583333333333,20.853333333333335,1.4583333333333333,2022,2,Winter
2022-03-01,10.332500000000001,24.020416666666666,1.4166666666666667,2022,3,Spring
2022-03-02,19.88416666666667,34.34375,2.625,2022,3,Spring
2022-03-03,24.054166666666664,34.80083333333334,2.8333333333333335,2022,3,Spring
2022-03-04,9.487083333333333,27.489583333333332,1.4583333333333333,2022,3,Spring
2022-03-05,5.79375,10.895416666666668,1.2083333333333333,2022,3,Spring
2022-03-06,3.4575,7.555833333333333,1.3333333333333333,2022,3,Spring
2022-03-07,5.42125,15.590416666666668,1.375,2022,3,Spring
2022-03-08,20.2475,20.691666666666666,2.5833333333333335,2022,3,Spring
2022-03-09,7.3825,17.4225,1.3333333333333333,2022,3,Spring
2022-03-10,9.27375,20.335,1.25,2022,3,Spring
2022-03-11,7.52,17.58458333333333,1.375,2022,3,Spring
2022-03-12,2.4787500000000002,11.04125,1.0833333333333333,2022,3,Spring
2022-03-13,3.1658333333333335,16.61916666666667,1.1666666666666667,2022,3,Spring
2022-03-14,8.192916666666667,40.212916666666665,1.5,2022,3,Spring
2022-03-15,13.435833333333333,45.826249999999995,1.875,2022,3,Spring
2022-03-16,10.972083333333332,31.815833333333334,1.7083333333333333,2022,3,Spring
2022-03-17,3.7550000000000003,24.2975,1.2916666666666667,2022,3,Spring
2022-03-18,10.247916666666667,28.682083333333335,1.8333333333333333,2022,3,Spring
2022-03-19,15.78125,14.865833333333335,2.125,2022,3,Spring
2022-03-20,18.329583333333336,45.34291666666667,2.1666666666666665,2022,3,Spring
2022-03-21,28.457916666666666,55.921666666666674,3.3333333333333335,2022,3,Spring
2022-03-22,18.85125,44.205000000000005,2.7083333333333335,2022,3,Spring
2022-03-23,35.16125,53.90875,3.8333333333333335,2022,3,Spring
2022-03-24,54.168749999999996,88.73708333333333,4.375,2022,3,Spring
2022-03-25,47.555416666666666,49.59625,4.333333333333333,2022,3,Spring
2022-03-26,28.712083333333336,19.579166666666666,3.4583333333333335,2022,3,Spring
2022-03-27,5.84125,20.51,1.2083333333333333,2022,3,Spring
2022-03-28,13.581666666666665,45.625416666666666,2.0,2022,3,Spring
2022-03-29,10.906666666666666,19.046666666666667,1.6666666666666667,2022,3,Spring
2022-03-30,6.22625,17.325833333333332,1.4166666666666667,2022,3,Spring
2022-03-31,0.9504166666666666,5.661666666666666,1.4583333333333333,2022,3,Spring
2022-04-01,1.2870833333333334,8.160416666666666,1.5833333333333333,2022,4,Spring
2022-04-02,3.2937499999999997,17.425416666666667,1.3333333333333333,2022,4,Spring
2022-04-03,5.951666666666667,22.82375,1.3333333333333333,2022,4,Spring
2022-04-04,3.1783333333333332,9.83375,1.2083333333333333,2022,4,Spring
2022-04-05,1.8170833333333334,9.578333333333333,1.375,2022,4,Spring
2022-04-06,1.7466666666666668,6.78875,1.5833333333333333,2022,4,Spring
2022-04-07,0.9083333333333333,5.444583333333333,1.5416666666666667,2022,4,Spring
2022-04-08,5.4925,31.862916666666667,1.4166666666666667,2022,4,Spring
2022-04-09,3.4995833333333333,19.350416666666664,1.4166666666666667,2022,4,Spring
2022-04-10,8.789583333333335,32.299166666666665,1.75,2022,4,Spring
2022-04-11,11.09125,20.035,1.6666666666666667,2022,4,Spring
2022-04-12,8.136666666666667,21.891666666666666,1.5,2022,4,Spring
2022-04-13,6.814166666666666,27.74291666666667,1.4166666666666667,2022,4,Spring
2022-04-14,11.404166666666667,39.035833333333336,1.625,2022,4,Spring
2022-04-15,15.031666666666666,37.535833333333336,2.0833333333333335,2022,4,Spring
2022-04-16,20.895833333333332,23.426666666666666,2.7916666666666665,2022,4,Spring
2022-04-17,14.871666666666668,22.742500000000003,2.75,2022,4,Spring
2022-04-18,12.788333333333334,25.285833333333333,2.2083333333333335,2022,4,Spring
2022-04-19,7.110416666666667,16.54041666666667,1.5416666666666667,2022,4,Spring
2022-04-20,18.366666666666667,13.555416666666666,2.625,2022,4,Spring
2022-04-21,15.899583333333334,12.195,2.25,2022,4,Spring
2022-04-22,10.639166666666666,7.640833333333333,2.0416666666666665,2022,4,Spring
2022-04-23,13.098333333333334,7.265000000000001,2.0,2022,4,Spring
2022-04-24,7.733750000000001,5.720833333333334,1.9583333333333333,2022,4,Spring
2022-04-25,5.2225,10.055,1.5416666666666667,2022,4,Spring
2022-04-26,3.31125,12.4625,1.4166666666666667,2022,4,Spring
2022-04-27,2.01375,14.159583333333332,1.2916666666666667,2022,4,Spring
2022-04-28,3.2016666666666667,16.322083333333335,1.375,2022,4,Spring
2022-04-29,2.122916666666667,13.886666666666665,1.4583333333333333,2022,4,Spring
2022-04-30,4.9383333333333335,31.084166666666665,1.5416666666666667,2022,4,Spring
2022-05-01,7.115416666666667,19.514583333333334,1.75,2022,5,Spring
2022-05-02,9.18875,39.3425,1.7083333333333333,2022,5,Spring
2022-05-03,12.639583333333334,33.187083333333334,1.8333333333333333,2022,5,Spring
2022-05-04,9.701666666666666,21.169583333333332,1.75,2022,5,Spring
2022-05-05,4.179166666666666,21.93375,1.4166666666666667,2022,5,Spring
